project_slug,floor_slug,slug,code,rooms,type,status,totalNP,totalNKP,floorPlanImage,pdfFile,positionImage
city-garden-lamela-4,sprat-4,l4-stan-30,S30,3-sobni,Stan,slobodno,59.68,62.85,/images/projekti/city-garden-lamela-4/stanovi/s30.jpg,/pdfs/l4-s30.pdf,/images/projekti/city-garden-lamela-4/stanovi/s30-pozicija.jpg
city-garden-lamela-4,sprat-5,l4-stan-36,S36,3-sobni,Stan,slobodno,59.68,62.85,/images/projekti/city-garden-lamela-4/stanovi/s30.jpg,/pdfs/l4-s30.pdf,/images/projekti/city-garden-lamela-4/stanovi/s30-pozicija.jpg
city-garden-lamela-4,sprat-4,l4-stan-31,S31,3-sobni,Stan,slobodno,55.57,62.37,/images/projekti/city-garden-lamela-4/stanovi/s31.jpg,/pdfs/l4-s31.pdf,/images/projekti/city-garden-lamela-4/stanovi/s31-pozicija.jpg
city-garden-lamela-4,sprat-5,l4-stan-37,S37,3-sobni,Stan,slobodno,55.57,62.37,/images/projekti/city-garden-lamela-4/stanovi/s31.jpg,/pdfs/l4-s31.pdf,/images/projekti/city-garden-lamela-4/stanovi/s31-pozicija.jpg
city-garden-lamela-4,sprat-6,l4-stan-42,S42,4-sobni,Stan,slobodno,75.29,81.70,/images/projekti/city-garden-lamela-4/stanovi/s42.jpg,/pdfs/l4-s42.pdf,/images/projekti/city-garden-lamela-4/stanovi/s42-pozicija.jpg
city-garden-lamela-4,sprat-7,l4-stan-47,S47,4-sobni,Stan,slobodno,75.29,81.70,/images/projekti/city-garden-lamela-4/stanovi/s42.jpg,/pdfs/l4-s42.pdf,/images/projekti/city-garden-lamela-4/stanovi/s42-pozicija.jpg
city-garden-lamela-4,sprat-6,l4-stan-43,S43,4-sobni,Stan,slobodno,75.84,82.46,/images/projekti/city-garden-lamela-4/stanovi/s43.jpg,/pdfs/l4-s43.pdf,/images/projekti/city-garden-lamela-4/stanovi/s43-pozicija.jpg
city-garden-lamela-4,sprat-7,l4-stan-48,S48,4-sobni,Stan,slobodno,75.84,82.46,/images/projekti/city-garden-lamela-4/stanovi/s43.jpg,/pdfs/l4-s43.pdf,/images/projekti/city-garden-lamela-4/stanovi/s43-pozicija.jpg
city-garden-lamela-5,sprat-1,l5-stan-01,S01,2-sobni,Stan,slobodno,45.13,48.26,/images/projekti/city-garden-lamela-5/stanovi/s01.jpg,/pdfs/l5-s01.pdf,/images/projekti/city-garden-lamela-5/stanovi/s01-pozicija.jpg
city-garden-lamela-5,sprat-2,l5-stan-07,S07,2-sobni,Stan,slobodno,45.13,48.26,/images/projekti/city-garden-lamela-5/stanovi/s01.jpg,/pdfs/l5-s01.pdf,/images/projekti/city-garden-lamela-5/stanovi/s01-pozicija.jpg
city-garden-lamela-5,sprat-3,l5-stan-13,S13,2-sobni,Stan,slobodno,45.13,48.26,/images/projekti/city-garden-lamela-5/stanovi/s01.jpg,/pdfs/l5-s01.pdf,/images/projekti/city-garden-lamela-5/stanovi/s01-pozicija.jpg
city-garden-lamela-5,sprat-4,l5-stan-19,S19,2-sobni,Stan,slobodno,45.13,48.26,/images/projekti/city-garden-lamela-5/stanovi/s01.jpg,/pdfs/l5-s01.pdf,/images/projekti/city-garden-lamela-5/stanovi/s01-pozicija.jpg
